Year,Peak
1935,148000
1936,107000
1939,3820
1940,7520
1941,15400
1942,7010
1943,3870
1944,74200
1945,15000
1946,6400
1947,14400
1948,1390
1949,12100
1950,2630
1951,7970
1952,45600
1953,4430
1954,7830
1955,9030
1956,2450
1957,40500
1958,24200
1959,22500
1960,111000
1961,15000
1962,1220
1963,1880
1964,12800
1965,13900
1966,37000
1967,2620
1968,8960
1969,2690
1970,22500
1971,60700
1972,7460
1973,8180
1974,31300
1975,14400
1976,2230
1977,54400
1978,240000
1979,8610
1980,12000
1981,24200
1982,36400
1983,1260
1984,2435
1985,43900
1986,73700
1987,130000
1988,54000
1989,1020
1990,27900
1991,10000
1992,54700
1993,1880
1994,18900
1995,3110
1996,1740
1997,73700
1998,20000
1999,2580
2000,417
2001,59400
2002,128000
2003,3950
2004,55600
2005,16400
2006,559
2007,62800
2008,640
2009,253
2010,30500
2011,165
2012,6890
2013,320
2014,2450
2015,72600
2016,83800
2017,1360
