name,Age,km_driven,FuelEconomy_kmpl,engine_p,engine_v,selling_price
Maruti Swift Dzire VDI,6,145500,23.4,74 ,1248,450000
Skoda Rapid 1.5 TDI Ambition,6,120000,21.1,103,1498,370000
Honda City 2017-2020 EXi,14,140000,17.7,78 ,1497,158000
Hyundai i20 Sportz Diesel,10,127000,23.0,90 ,1396,225000
Maruti Swift VXI BSIII,13,120000,16.1,88,1298,130000
Hyundai Xcent 1.2 VTVT E Plus,3,45000,20.1,81,1197,440000
Maruti Wagon R LXI DUO BSIII,13,175000,17.3,57,1061,96000
Maruti 800 DX BSII,19,5000,16.1,67,796 ,45000
Toyota Etios VXD,9,90000,23.5,68,1364,350000
Ford Figo Diesel Celebration Edition,7,169000,20.0,73,1399,200000
Renault Duster 110PS Diesel RxL,6,68000,19.0,88,1461,500000
Maruti Zen LX,15,100000,17.3,46,993 ,92000
Maruti Swift Dzire VDi,11,140000,19.3,88,1248,280000
Maruti Wagon R LXI Minor,11,90000,18.9,64,1061,180000
Mahindra KUV 100 mFALCON G80 K8 5str,4,40000,18.1,98,1198,400000
Maruti Ertiga SHVS VDI,4,70000,24.5,88,1248,778000
Hyundai i20 1.4 CRDi Asta,8,53000,23.0,83,1396,500000
Maruti Alto LX,18,80000,19.7,83,796 ,150000
Hyundai i20 2015-2017 Asta 1.4 CRDi,4,100000,22.5,47,1396,680000
Mahindra Verito 1.5 D4 BSIII,9,100000,21.0,73,1461,174000
Honda WR-V i-DTEC VX,3,50000,25.5,34,1498,950000
Maruti Swift Dzire ZDI,5,40000,26.5,88,1248,525000
Maruti SX4 ZDI,8,72000,21.5,81,1248,600000
Tata Tigor 2017-2020 XZ,2,35000,20.3,88,1199,500000
Maruti Baleno Delta 1.2,4,45000,21.4,40,1197,575000
Maruti Alto 800 LXI,3,28000,24.7,67,796 ,275000
Chevrolet Enjoy TCDi LTZ 7 Seater,7,70000,18.2,83,1248,300000
Maruti Wagon R LXI Minor,11,120000,18.9,88,1061,220000
Maruti Omni E MPI STD BS IV,2,25000,16.8,67,796 ,254999
Maruti Vitara Brezza LDi Option,3,70000,24.3,98,1248,670000
Maruti Omni 8 Seater BSIV,8,35000,14.0,98,796 ,150000
Hyundai i20 1.2 Asta Dual Tone,2,2388,18.6,98,1197,730000
Maruti Vitara Brezza LDi,3,16200,24.3,88,1248,650000
Maruti Alto 800 CNG LXI Optional,1,10000,33.4,78,796 ,330000
Maruti Alto K10 VXI Airbag,1,15000,23.9,88,998 ,366000
Hyundai Verna VTVT 1.6 SX Option,1,5000,17.0,86,1591,1149000
Datsun GO D,4,42000,20.6,83,1198,150000
Tata Safari DICOR 2.2 LX 4x2,9,60000,13.9,98,2179,425000
Maruti 800 Std,8,76000,16.1,88,796 ,150000
Jeep Compass 1.4 Limited Plus BSIV,1,5000,16.0,88,1368,2100000
Honda City i VTEC VX,2,28900,17.8,78,1497,925000
Honda City V MT,7,86300,16.8,93,1497,425000
Maruti Swift Dzire VXi AT,2,23300,18.5,98,1197,675000
Maruti Vitara Brezza VDi,2,32600,24.3,67,1248,819999
Maruti Alto K10 VXI,2,10300,23.9,67,998 ,390000
Toyota Fortuner 4x4 MT,6,77000,12.5,47,2982,1500000
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,7,99000,12.9,47,2494,700000
Mercedes-Benz B Class B180,6,27800,14.8,68,2143,1450000
Honda Amaze S Diesel,5,49800,24.7,58,1498,425000
Mitsubishi Pajero Sport 4X4,7,151000,13.5,68,2477,1090000
Honda City i DTEC S,5,54700,26.0,67,1498,600000
