YEAR	ANNUAL.VOLUME
1906	18550021
1907	21201694
1908	12218817
1909	22356301
1910	14650616
1911	15499729
1912	18623410
1913	14536373
1914	21354814
1915	13623277
1916	20142892
1917	22942804
1918	15865939
1919	12651369
1920	22287632
1921	22526781
1922	18447198
1923	19024046
1924	13877798
1925	14430701
1926	15213731
1927	19539212
1928	16954334
1929	21829585
1930	14621041
1931	8474134
1932	17422187
1933	12183500
1934	6178192
1935	12630349
1936	14648873
1937	14306056
1938	18148319
1939	11164059
1940	9931657
1941	20116678
1942	17225136
1943	13731401
1944	15369422
1945	14140528
1946	11095453
1947	16439486
1948	15139294
1949	16933584
1950	13140416
1951	12505894
1952	20805422
1953	11165419
1954	8496102
1955	9413908
1956	11426874
1957	21500963
1958	15862511
1959	9598169
1960	11524160
1961	10010259
1962	17377609
1963	8840900
1964	10863586
1965	19875027
1966	10679844
1967	11670830
1968	13739932
1969	15272159
1970	15344136
1971	15218768.78
1972	12932511.95
1973	18377100.46
1974	13124811
1975	16781790.57
1976	11110426.36
1977	5407262.131
1978	15202659.01
1979	17771867.37
1980	17695528.67
1981	8986246.247
1982	17544592.53
1983	24665932.6
1984	25397638.61
1985	21239309.88
1986	23025284.78
1987	15611702.09
1988	11447053.55
1989	10037691.11
1990	9572826.068
1991	12157030.37
1992	10851753.62
1993	18380711.27
1994	10622077.16
1995	20334985.3
1996	14589049.86
1997	21638089.22
1998	16845804
1999	16145635.82
2000	10941368.92
2001	10710873.3
2002	6189070.527
2003	10247854.48
