TS.DUR,TSS.DUR,RAIN.DUR
3014.0,2871.5,1.59
1137.0,602.0,0.53
2362.5,2515.0,0.74
395.5,130.0,0.11
278.5,36.5,0.27
506.5,320.5,0.69
2829.5,3071.5,1.06
22209.5,17424.5,6.55
2491.5,1931.5,0.83
1278.0,1129.5,0.91
1428.5,1328.0,1.06
274.5,193.5,0.31
435.0,243.0,0.15
213.0,57.0,1.04
329.0,71.0,0.51
228.0,25.0,1.01
270.0,22.0,0.1
260.0,44.0,0.13
3176.5,2401.0,0.28
29954.5,24146.5,3.55
26099.5,15454.0,4.91
1484.0,1268.0,3.33
146.0,43.0,1.0
1069.0,891.0,0.51
242.0,38.0,0.14
5310.0,6103.0,0.5
2671.5,2737.0,0.75
214.0,29.0,0.1
1058.0,776.5,0.8
319.5,263.0,0.48
4864.0,4865.0,0.68
2647.0,2473.0,0.1
259.0,14.0,0.1
124.0,45.0,0.28
9014.5,7680.5,1.77
159.0,80.0,0.19
573.0,397.5,0.55
