DATE	RAIN.DUR	TS.DUR	TSS.DUR
7/9/1997	1.59	3014	2871.5
7/21/1997	0.53	1137	602
8/1/1997	0.74	2362.5	2515
8/4/1997	0.11	395.5	130
8/9/1997	0.27	278.5	36.5
8/25/1997	0.69	506.5	320.5
9/11/1997	1.06	2829.5	3071.5
9/23/1997	6.55	22209.5	17424.5
9/26/1997	0.83	2491.5	1931.5
10/7/1997	0.91	1278	1129.5
10/10/1997	1.06	1428.5	1328
10/30/1997	0.31	274.5	193.5
11/4/1997	0.15	435	243
11/7/1997	1.04	213	57
11/11/1997	0.51	329	71
11/13/1997	1.01	228	25
11/18/1997	0.1	270	22
11/20/1997	0.13	260	44
12/2/1997	0.28	3176.5	2401
12/9/1997	3.55	29954.5	24146.5
1/5/1998	4.91	26099.5	15454
1/8/1998	3.33	1484	1268
1/13/1998	1	146	43
1/22/1998	0.51	1069	891
1/28/1998	0.14	242	38
2/3/1998	0.5	5310	6103
2/11/1998	0.75	2671.5	2737
2/13/1998	0.1	214	29
2/18/1998	0.8	1058	776.5
2/20/1998	0.48	319.5	263
2/25/1998	0.68	4864	4865
2/27/1998	0.1	2647	2473
3/3/1998	0.1	259	14
3/14/1998	0.28	124	45
3/17/1998	1.77	9014.5	7680.5
4/1/1998	0.19	159	80
4/21/1998	0.55	573	397.5
