MM	DD	YY	pH	T_degC	DO_ppm	NH3_ppm	Odor
11	1	1999	6.63	22.5	4.54	0.63	0
5	28	1998	7.3	23.2	1.7	0.54	0
6	3	1998	7.2	24.1	1.2	0.31	0
6	8	1998	7.1	24.8	1	3.96	0
6	15	1998	7.2	25	2.9	0.57	0
6	26	1998	7.3	27.2	3.1	1.29	0
6	29	1998	7.7	26.2	7.9	0.28	0
7	8	1998	6.5	26.2	0.28	0.21	0
7	20	1998	6.5	28	8.1	0.32	0
7	29	1998	6.6	25	1.37	0.85	0
8	12	1998	6.7	25	1.88	0.29	0
9	2	1998	7.1	25	3.1	0.16	0
9	14	1998	7	25	2.76	0.24	0
9	16	1998	7.3	25	7.65	0.27	0
9	22	1998	7.1	25	1.78	0.35	0
10	7	1998	6.99	22.7	2.95	0.33	0
10	9	1998	7.3	23	3.32	0.72	0
10	12	1998	7.29	25	3.56	1.38	0
10	14	1998	7.62	22.8	3.55	0.79	0
10	21	1998	7.52	22.2	6.05	0.61	0
10	28	1998	7.37	22.7	1.14	1.06	0
11	4	1998	7.37	21	1.118	0.32	0
11	12	1998	7.11	19.6	4.62	0.64	0
11	13	1998	7	17.9	7.92	0	0
11	16	1998	7.5	18.5	9.24	0.69	0
11	18	1998	8.48	19.2	3.01	0	0
1	13	1999	7.156	16.7	3.42	0.79	0
2	23	1999	8.735	16.5	1.63	0.15	0
3	16	1999	7.867	15.9	7	0.99	0
4	1	1999	6.964	20	4.62	0.43	0
4	15	1999	7.707	20.6	4.03	0.79	0
5	11	1999	6.73	22.1	7.72	0.41	0
6	15	1999	7.508	26.2	2.91	0.88	0
6	22	1999	6.843	26.2	1.16	0.39	0
7	6	1999	6.8	27.7	2.1	0.29	0
7	15	1999	7.08	27.5	3.19	0.52	0
5	12	1998	7	21.6	1.41	0.66	1
5	21	1998	7.2	23.9	1.2	1.23	1
5	27	1998	6.9	23.6	1.1	0.36	1
6	11	1998	7	24.9	1.7	2.5	1
6	17	1998	6.8	27.1	2.74	0.99	1
6	22	1998	6.9	26	2.71	0.82	1
7	13	1998	7.1	25.8	2.8	0.65	1
8	26	1998	6.7	25	1.8	0.27	1
10	2	1998	7.1	25	1.56	0.39	1
10	29	1998	7.22	22.6	3.11	1.26	1
11	25	1998	8.327	20.2	2.06	0.51	1
11	25	1998	7.458	20.2	2.85	0.27	1
12	2	1998	7.411	21.4	0.52	0.66	1
12	23	1998	6.702	15.4	2.55	0	1
12	30	1998	6.638	16.3	5.4	0.26	1
1	6	1999	6.968	14.4	3.66	1.26	1
1	21	1999	6.844	17.1	3.93	0.38	1
1	22	1999	7.371	17.7	2.04	1.24	1
1	26	1999	7.222	16.6	1.15	2.13	1
2	2	1999	7.509	17.4	2.54	1.19	1
2	4	1999	7.369	17.4	2.22	1.64	1
2	5	1999	7.01	17.6	0.26	1.49	1
2	9	1999	7.087	18.2	3.29	0.98	1
2	16	1999	8.36	16.7	5.45	1.55	1
2	18	1999	7.644	10.8	4.58	0.47	1
2	26	1999	7.122	17.9	1.43	0.35	1
3	2	1999	7.329	18.1	1.3	0.74	1
3	5	1999	6.709	18.5	1.28	1.41	1
3	9	1999	7.199	17.8	1.3	0.73	1
3	11	1999	7.055	18.4	0.97	0.83	1
3	23	1999	7.501	19.7	2.1	0.36	1
3	25	1999	6.92	19.8	1.14	0.21	1
3	30	1999	6.263	18.8	7.6	0.19	1
4	5	1999	7.253	20.2	1.44	0.46	1
4	7	1999	7.122	21.2	1.35	0.74	1
4	23	1999	7.146	23.7	3.14	0.89	1
4	27	1999	7.455	22.7	2.82	1.16	1
5	25	1999	7.211	23.4	0.6	1.31	1
6	8	1999	6.943	24.8	0.88	0.28	1
6	11	1999	6.889	26.6	1.11	0.58	1
6	29	1999	7.127	28	4.59	0.97	1
7	27	1999	6.88	26.4	4.3	0.42	1
