Author,ID,Location,Q_m3_s,q_m2_s,U_m_s,W_m,H_m,R_m,S_m_m,D16_m,D50_m,D84_m,D90_m,Sorting,Rhos_kg_m3,Rho_kg_m3,qb_kg_m_s,C_ppht,Record_Number,Froude,GammaS_N_m3,GammaF_N_m3,Tau0_kg_m_s2,TauStar,Ustar_m_s,ManningN,WP_m,A_m2
GUY_1966,1,UNKNOWN,0.1846,0.0757085,0.264253,2.4383,0.2865,0.231984,5.00E-05,,0.00018989,,,1.3,2650,998.512,0,0,1,0.157651,25987.6,9792.06,0.11358,0.0369321,0.0106653,0.0101027,3.0113,0.698573
GUY_1966,2,UNKNOWN,0.0847,0.0347373,0.237439,2.4383,0.1463,0.130625,0.0001,,0.00018989,,,1.3,2650,998.716,0,0,2,0.19823,25987.6,9794.06,0.127935,0.0416049,0.0113181,0.0108426,2.7309,0.356723
GUY_1966,3,UNKNOWN,0.1891,0.077554,0.240031,2.4383,0.3231,0.255411,0.00015,,0.00018989,,,1.3,2650,999.491,0,0,3,0.134846,25987.6,9801.66,0.375518,0.122177,0.0193832,0.0205402,3.0845,0.787815
GUY_1966,4,UNKNOWN,0.0847,0.0347373,0.264968,2.4383,0.1311,0.118371,0.00016,,0.00018989,,,1.3,2650,998.662,0,0,4,0.233685,25987.6,9793.53,0.185483,0.0603178,0.0136283,0.0115088,2.7005,0.319661
GUY_1966,5,UNKNOWN,0.0566,0.0232129,0.25397,2.4383,0.0914,0.0850256,0.00017,,0.00018989,,,1.3,2650,998.395,0,0,5,0.268256,25987.6,9790.91,0.141521,0.0460143,0.0119058,0.00992678,2.6211,0.222861
GUY_1966,6,UNKNOWN,0.1826,0.0748882,0.264156,2.4383,0.2835,0.230013,0.00018,,0.00018989,,,1.3,2650,998.395,0,0,6,0.158425,25987.6,9790.91,0.405367,0.131801,0.0201499,0.0190668,3.0053,0.691258
GUY_1966,7,UNKNOWN,0.0847,0.0347373,0.271385,2.4383,0.128,0.115838,0.00018,,0.00018989,,,1.3,2650,998.625,0,0,7,0.242226,25987.6,9793.17,0.204196,0.0664016,0.0142995,0.0117477,2.6943,0.312103
GUY_1966,8,UNKNOWN,0.2523,0.103474,0.339481,2.4383,0.3048,0.243838,0.00028,,0.00018989,,,1.3,2650,998.804,0.0004134,0.4,8,0.196358,25987.6,9794.92,0.668745,0.21749,0.0258756,0.0192382,3.0479,0.743193
GUY_1966,9,UNKNOWN,0.0968,0.0396998,0.224546,2.4383,0.1768,0.154408,0.00034,,0.00018989,,,1.3,2650,999.328,3.97E-05,0.1,9,0.170531,25987.6,9800.06,0.514491,0.167376,0.02269,0.0236346,2.7919,0.431092
GUY_1966,10,UNKNOWN,0.3007,0.123324,0.396667,2.4383,0.3109,0.247726,0.00043,,0.00018989,,,1.3,2650,998.606,0.0035715,2.9,10,0.227172,25987.6,9792.98,1.04317,0.33922,0.0323207,0.02062,3.0601,0.758067
GUY_1966,11,UNKNOWN,0.1155,0.0473691,0.282632,2.4383,0.1676,0.147344,0.00057,,0.00018989,,,1.3,2650,998.606,0.00018921,0.4,11,0.220457,25987.6,9792.98,0.822474,0.267454,0.0286988,0.0235652,2.7735,0.408659
GUY_1966,12,UNKNOWN,0.3587,0.147111,0.468655,2.4383,0.3139,0.249627,0.00058,,0.00018989,,,1.3,2650,998.906,0.0176361,12,12,0.267114,25987.6,9795.92,1.41829,0.461286,0.0376808,0.020373,3.0661,0.765382
GUY_1966,13,UNKNOWN,0.0847,0.0347373,0.25904,2.4383,0.1341,0.120811,0.00062,,0.00018989,,,1.3,2650,998.606,6.94E-05,0.2,13,0.225887,25987.6,9792.98,0.733522,0.238528,0.0271025,0.0234909,2.70651,0.326977
GUY_1966,14,UNKNOWN,0.3862,0.158389,0.547112,2.4383,0.2895,0.233947,0.00066,,0.00018989,,,1.3,2650,998.588,0.044457,28.1,14,0.324707,25987.6,9792.8,1.51206,0.491689,0.0389127,0.0178282,3.0173,0.705888
GUY_1966,15,UNKNOWN,0.4193,0.171964,0.606575,2.4383,0.2835,0.230013,0.0007,,0.00018989,,,1.3,2650,998.569,0.0891679,51.9,15,0.363787,25987.6,9792.62,1.5767,0.512703,0.0397361,0.0163744,3.0053,0.691258
GUY_1966,16,UNKNOWN,0.1271,0.0521265,0.316686,2.4383,0.1646,0.14502,0.00079,,0.00018989,,,1.3,2650,998.625,0.00176992,3.4,16,0.249261,25987.6,9793.17,1.12196,0.364846,0.0335187,0.0244983,2.76751,0.401344
GUY_1966,17,UNKNOWN,0.4717,0.193454,0.598745,2.4383,0.3231,0.255411,0.00083,,0.00018989,,,1.3,2650,998.734,0.161658,83.6,17,0.336367,25987.6,9794.23,2.07629,0.675225,0.0455952,0.0193697,3.0845,0.787815
GUY_1966,18,UNKNOWN,0.1438,0.0589755,0.345492,2.4383,0.1707,0.149735,0.00084,,0.00018989,,,1.3,2650,998.415,0.00341536,5.8,18,0.267031,25987.6,9791.11,1.2315,0.400415,0.0351206,0.0236547,2.7797,0.416218
GUY_1966,19,UNKNOWN,0.1472,0.0603699,0.360202,2.4383,0.1676,0.147344,0.00092,,0.00018989,,,1.3,2650,999.491,0.00506892,8.4,19,0.280963,25987.6,9801.66,1.32868,0.432294,0.0364603,0.0234911,2.77351,0.40866
GUY_1966,20,UNKNOWN,0.5796,0.237707,0.715553,2.4383,0.3322,0.261064,0.00099,,0.00018989,,,1.3,2650,998.454,0.308942,130,20,0.396444,25987.6,9791.49,2.53064,0.822844,0.0503444,0.0179614,3.1027,0.810003
GUY_1966,21,UNKNOWN,0.6223,0.255219,0.940726,2.4383,0.2713,0.221916,0.001,,0.00018989,,,1.3,2650,998.375,0.31635,124,21,0.576737,25987.6,9790.71,2.17272,0.706429,0.0466503,0.0123215,2.9809,0.66151
GUY_1966,22,UNKNOWN,0.6263,0.256859,0.980005,2.4383,0.2621,0.215723,0.00106,,0.00018989,,,1.3,2650,998.356,0.382661,149,22,0.611272,25987.6,9790.53,2.23876,0.727896,0.0473545,0.0119497,2.9625,0.639078
GUY_1966,23,UNKNOWN,0.6183,0.253578,1.05307,2.4383,0.2408,0.201083,0.00112,,0.00018989,,,1.3,2650,998.375,0.507347,200,23,0.685281,25987.6,9790.71,2.205,0.716925,0.0469956,0.0109078,2.91989,0.58714
GUY_1966,24,UNKNOWN,0.1982,0.0812861,0.512846,2.4383,0.1585,0.140264,0.00127,,0.00018989,,,1.3,2650,998.873,0.0408614,50.3,24,0.41135,25987.6,9795.6,1.74494,0.567515,0.0417961,0.0187591,2.75531,0.386471
GUY_1966,25,UNKNOWN,0.6217,0.254973,0.820112,2.4383,0.3109,0.247726,0.0013,,0.00018989,,,1.3,2650,998.295,0.323674,127,25,0.46968,25987.6,9789.93,3.15279,1.02504,0.0561976,0.0173412,3.0601,0.758067
GUY_1966,26,UNKNOWN,0.2305,0.0945331,0.508516,2.4383,0.1859,0.161304,0.0013,,0.00018989,,,1.3,2650,999.083,0.0813884,86.1,26,0.376621,25987.6,9797.66,2.05452,0.668287,0.0453476,0.0210102,2.8101,0.45328
GUY_1966,27,UNKNOWN,0.2735,0.112168,0.541092,2.4383,0.2073,0.177174,0.0014,,0.00018989,,,1.3,2650,998.625,0.13907,124,27,0.379499,25987.6,9793.17,2.42913,0.789919,0.0493202,0.0218135,2.8529,0.505459
GUY_1966,28,UNKNOWN,0.2129,0.0873149,0.550883,2.4383,0.1585,0.140264,0.00147,,0.00018989,,,1.3,2650,998.531,0.0871866,99.9,28,0.44186,25987.6,9792.24,2.01904,0.656527,0.0449668,0.0187887,2.75531,0.38647
GUY_1966,29,UNKNOWN,0.6268,0.257064,1.17167,2.4383,0.2194,0.185938,0.00156,,0.00018989,,,1.3,2650,998.474,0.707794,275,29,0.798779,25987.6,9791.69,2.84021,0.923511,0.0533343,0.0109817,2.8771,0.534963
GUY_1966,30,UNKNOWN,0.3307,0.135627,0.872763,2.4383,0.1554,0.137831,0.0017,,0.00018989,,,1.3,2650,998.415,0.336657,248,30,0.706985,25987.6,9791.11,2.29418,0.74594,0.0479356,0.0126055,2.7491,0.378912
GUY_1966,31,UNKNOWN,0.2327,0.0954354,0.639219,2.4383,0.1493,0.133011,0.00194,,0.00018989,,,1.3,2650,998.512,0.115445,121,31,0.528274,25987.6,9792.06,2.52676,0.821609,0.0503043,0.0179546,2.7369,0.364038
GUY_1966,32,UNKNOWN,0.6283,0.25768,1.2619,2.4383,0.2042,0.174905,0.00196,,0.00018989,,,1.3,2650,998.415,1.2019,465,32,0.891737,25987.6,9791.11,3.35653,1.09136,0.0579815,0.0109725,2.84669,0.4979
GUY_1966,33,UNKNOWN,0.6274,0.25731,1.31886,2.4383,0.1951,0.168185,0.003,,0.00018989,,,1.3,2650,998.454,2.39601,924,33,0.953476,25987.6,9791.49,4.94034,1.60636,0.070342,0.0126538,2.82852,0.475714
